ibge,uf,region
120001,AC,NO
120005,AC,
120010,AC,
120010,AC,
120010,AC,
120010,AC,
120010,AC,
120010,AC,
120010,AC,
120010,AC,NO
120010,AC,
120010,AC,
120010,AC,
120010,AC,
120010,AC,
120010,AC,NO
120013,AC,
120017,AC,
120017,AC,
120017,AC,
120017,AC,
120017,AC,
120017,AC,NO
120017,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,
120020,AC,NO
120020,AC,
120020,AC,
120025,AC,
120025,AC,
120025,AC,
120025,AC,
120025,AC,
120025,AC,NO
120025,AC,
120025,AC,
120025,AC,
120025,AC,
120025,AC,
120025,AC,
120025,AC,
120025,AC,
120025,AC,
120025,AC,
120025,AC,
120025,AC,
120025,AC,
120025,AC,
120025,AC,
120025,AC,NO
120025,AC,
120025,AC,
120025,AC,
120025,AC,
120025,AC,
120025,AC,
120025,AC,
120025,AC,
120025,AC,
120025,AC,
120025,AC,
120025,AC,
120025,AC,
120025,AC,
120025,AC,
120025,AC,
120025,AC,
120025,AC,
120025,AC,
120025,AC,
120025,AC,
120030,AC,
120030,AC,
120030,AC,
120030,AC,
120030,AC,
120030,AC,
120030,AC,
120030,AC,
120030,AC,
120030,AC,
120030,AC,
120030,AC,
120030,AC,
120030,AC,
120030,AC,
120030,AC,
120030,AC,
120030,AC,
120030,AC,
120030,AC,
120030,AC,
120030,AC,NO
120030,AC,
120030,AC,
120030,AC,
120030,AC,
120030,AC,
120030,AC,
120030,AC,
120030,AC,
120030,AC,
120030,AC,
120030,AC,
120030,AC,
120030,AC,
120030,AC,
120030,AC,
120030,AC,
120030,AC,
120030,AC,
120030,AC,
120030,AC,
120030,AC,
120030,AC,
120032,AC,
120032,AC,
120032,AC,
120032,AC,
120032,AC,
120032,AC,
120032,AC,
120032,AC,
120032,AC,
120032,AC,
120032,AC,
120032,AC,
120032,AC,
120032,AC,
120032,AC,
120032,AC,
120032,AC,
120032,AC,
120032,AC,
120032,AC,
120032,AC,
120032,AC,NO
120032,AC,
120032,AC,
120032,AC,
120032,AC,
120032,AC,
120032,AC,
120032,AC,
120032,AC,
120032,AC,
120032,AC,
120032,AC,
120032,AC,
120032,AC,
120032,AC,
120032,AC,
120032,AC,
120032,AC,
120032,AC,
120032,AC,
120032,AC,
120032,AC,
120032,AC,
120033,AC,
120034,AC,
120035,AC,
120038,AC,
120038,AC,
120038,AC,
120038,AC,
120038,AC,
120038,AC,
120038,AC,
120038,AC,
120038,AC,
120038,AC,
120038,AC,
120038,AC,
120038,AC,
120038,AC,
120038,AC,
120038,AC,
120038,AC,
120038,AC,NO
120038,AC,
120038,AC,
120038,AC,
120038,AC,
120038,AC,
120038,AC,
120038,AC,
120038,AC,
120038,AC,
120038,AC,
120038,AC,
120038,AC,
120038,AC,
120038,AC,
120038,AC,
120038,AC,
120038,AC,
120038,AC,
120038,AC,
120038,AC,
120038,AC,
120038,AC,
120038,AC,
120038,AC,
120038,AC,
120038,AC,
120039,AC,
120040,AC,
120040,AC,
120040,AC,
120040,AC,
120040,AC,
120040,AC,
120040,AC,
120040,AC,
120040,AC,
120040,AC,
120040,AC,
120040,AC,
120040,AC,
120040,AC,
120040,AC,
120040,AC,NO
120040,AC,
120040,AC,
120040,AC,
120040,AC,
120040,AC,
120040,AC,
120040,AC,
120040,AC,
120040,AC,
120040,AC,
120040,AC,
120040,AC,
120040,AC,
120040,AC,
120040,AC,
120040,AC,
120040,AC,
120040,AC,
120040,AC,
120040,AC,
120040,AC,
120040,AC,
120040,AC,
120040,AC,
120040,AC,
120040,AC,
120040,AC,
120040,AC,
120042,AC,
120043,AC,
120045,AC,
120050,AC,
120050,AC,NO
120050,AC,
120050,AC,
120050,AC,
120050,AC,
